Alphabetic code,Currency,Numeric code,Minor unit,Entity
AED,UAE Dirham,784,2,UNITED ARAB EMIRATES (THE)
AFN,Afghani,971,2,AFGHANISTAN
ALL,Lek,8,2,ALBANIA
AMD,Armenian Dram,51,2,ARMENIA
ANG,Netherlands Antillean Guilder,532,2,CURAÇAO
ANG,Netherlands Antillean Guilder,532,2,SINT MAARTEN (DUTCH PART)
AOA,Kwanza,973,2,ANGOLA
ARS,Argentine Peso,32,2,ARGENTINA
AUD,Australian Dollar,36,2,AUSTRALIA
AUD,Australian Dollar,36,2,CHRISTMAS ISLAND
AUD,Australian Dollar,36,2,COCOS (KEELING) ISLANDS (THE)
AUD,Australian Dollar,36,2,HEARD ISLAND AND McDONALD ISLANDS
AUD,Australian Dollar,36,2,KIRIBATI
AUD,Australian Dollar,36,2,NAURU
AUD,Australian Dollar,36,2,NORFOLK ISLAND
AUD,Australian Dollar,36,2,TUVALU
AWG,Aruban Florin,533,2,ARUBA
AZN,Azerbaijanian Manat,944,2,AZERBAIJAN
BAM,Convertible Mark,977,2,BOSNIA AND HERZEGOVINA
BBD,Barbados Dollar,52,2,BARBADOS
BDT,Taka,50,2,BANGLADESH
BGN,Bulgarian Lev,975,2,BULGARIA
BHD,Bahraini Dinar,48,3,BAHRAIN
BIF,Burundi Franc,108,0,BURUNDI
BMD,Bermudian Dollar,60,2,BERMUDA
BND,Brunei Dollar,96,2,BRUNEI DARUSSALAM
BOB,Boliviano,68,2,BOLIVIA (PLURINATIONAL STATE OF)
BOV,Mvdol,984,2,BOLIVIA (PLURINATIONAL STATE OF)
BRL,Brazilian Real,986,2,BRAZIL
BSD,Bahamian Dollar,44,2,BAHAMAS (THE)
BTN,Ngultrum,64,2,BHUTAN
BWP,Pula,72,2,BOTSWANA
BYR,Belarussian Ruble,974,0,BELARUS
BZD,Belize Dollar,84,2,BELIZE
CAD,Canadian Dollar,124,2,CANADA
CDF,Congolese Franc,976,2,CONGO (THE DEMOCRATIC REPUBLIC OF THE)
CHE,WIR Euro,947,2,SWITZERLAND
CHF,Swiss Franc,756,2,LIECHTENSTEIN
CHF,Swiss Franc,756,2,SWITZERLAND
CHW,WIR Franc,948,2,SWITZERLAND
CLF,Unidad de Fomento,990,4,CHILE
CLP,Chilean Peso,152,0,CHILE
CNY,Yuan Renminbi,156,2,CHINA
COP,Colombian Peso,170,2,COLOMBIA
COU,Unidad de Valor Real,970,2,COLOMBIA
CRC,Costa Rican Colon,188,2,COSTA RICA
CUC,Peso Convertible,931,2,CUBA
CUP,Cuban Peso,192,2,CUBA
CVE,Cabo Verde Escudo,132,2,CABO VERDE
CZK,Czech Koruna,203,2,CZECH REPUBLIC (THE)
DJF,Djibouti Franc,262,0,DJIBOUTI
DKK,Danish Krone,208,2,DENMARK
DKK,Danish Krone,208,2,FAROE ISLANDS (THE)
DKK,Danish Krone,208,2,GREENLAND
DOP,Dominican Peso,214,2,DOMINICAN REPUBLIC (THE)
DZD,Algerian Dinar,12,2,ALGERIA
EGP,Egyptian Pound,818,2,EGYPT
ERN,Nakfa,232,2,ERITREA
ETB,Ethiopian Birr,230,2,ETHIOPIA
EUR,Euro,978,2,ÅLAND ISLANDS
EUR,Euro,978,2,ANDORRA
EUR,Euro,978,2,AUSTRIA
EUR,Euro,978,2,BELGIUM
EUR,Euro,978,2,CYPRUS
EUR,Euro,978,2,ESTONIA
EUR,Euro,978,2,EUROPEAN UNION
EUR,Euro,978,2,FINLAND
EUR,Euro,978,2,FRANCE
EUR,Euro,978,2,FRENCH GUIANA
EUR,Euro,978,2,FRENCH SOUTHERN TERRITORIES (THE)
EUR,Euro,978,2,GERMANY
EUR,Euro,978,2,GREECE
EUR,Euro,978,2,GUADELOUPE
EUR,Euro,978,2,HOLY SEE (THE)
EUR,Euro,978,2,IRELAND
EUR,Euro,978,2,ITALY
EUR,Euro,978,2,LATVIA
EUR,Euro,978,2,LITHUANIA
EUR,Euro,978,2,LUXEMBOURG
EUR,Euro,978,2,MALTA
EUR,Euro,978,2,MARTINIQUE
EUR,Euro,978,2,MAYOTTE
EUR,Euro,978,2,MONACO
EUR,Euro,978,2,MONTENEGRO
EUR,Euro,978,2,NETHERLANDS (THE)
EUR,Euro,978,2,PORTUGAL
EUR,Euro,978,2,RÉUNION
EUR,Euro,978,2,SAINT BARTHÉLEMY
EUR,Euro,978,2,SAINT MARTIN (FRENCH PART)
EUR,Euro,978,2,SAINT PIERRE AND MIQUELON
EUR,Euro,978,2,SAN MARINO
EUR,Euro,978,2,SLOVAKIA
EUR,Euro,978,2,SLOVENIA
EUR,Euro,978,2,SPAIN
FJD,Fiji Dollar,242,2,FIJI
FKP,Falkland Islands Pound,238,2,FALKLAND ISLANDS (THE) [MALVINAS]
GBP,Pound Sterling,826,2,GUERNSEY
GBP,Pound Sterling,826,2,ISLE OF MAN
GBP,Pound Sterling,826,2,JERSEY
GBP,Pound Sterling,826,2,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE)
GEL,Lari,981,2,GEORGIA
GHS,Ghana Cedi,936,2,GHANA
GIP,Gibraltar Pound,292,2,GIBRALTAR
GMD,Dalasi,270,2,GAMBIA (THE)
GNF,Guinea Franc,324,0,GUINEA
GTQ,Quetzal,320,2,GUATEMALA
